measurement_id,available_bandwidth,error_message,error_type,num_received_packets,start_time
1975,68.0985,,4,150,1.55992156213315E+018
2127,69.7435,,4,150,1.55992156461172E+018
2279,69.4664,,4,150,1.5599215655623E+018
2431,68.8874,,4,150,1.55992156647692E+018
2583,68.9948,,4,150,1.55992156736268E+018
2735,67.7882,,4,150,1.55992156817613E+018
2887,67.4272,,4,150,1.55992156900546E+018
3039,68.129,,4,150,1.55992156984969E+018
3191,71.0483,,4,38,1.55992164927667E+018
3231,68.7737,,4,38,1.55992165032824E+018
3271,65.0412,,4,38,1.5599216510802E+018
3311,72.4066,,4,38,1.55992165178648E+018
3351,67.3421,,4,38,1.55992165244997E+018
3391,73.3084,,4,38,1.55992165311779E+018
3431,68.8469,,4,19,1.55992165719487E+018
3452,76.567,,4,19,1.5599216580968E+018
3473,68.6917,,4,19,1.55992165869604E+018
3494,67.1881,,4,19,1.55992165935529E+018
3515,73.3296,,4,19,1.55992165998282E+018
3536,71.8449,,4,19,1.55992166061492E+018
3557,72.3841,,4,19,1.5599216611784E+018
3578,76.6468,,4,19,1.55992166173369E+018
3599,82.87,,4,19,1.55992166235726E+018
3620,85.6634,,4,10,1.55992174992184E+018
3632,65.3129,,4,10,1.55992175215494E+018
3644,74.1711,,4,10,1.55992175295885E+018
